English,Lisu, When/Why
"(Action verb),","(Action verb) ꓢꓲ꓾"
"(action marker)","ꓡꓰ"
"and","ꓢꓲ ꓠꓬꓲ꓾", "uses when: go and see, come and go, eating and watching"
"and","ꓢꓲ ꓠꓬꓲ꓾", "uses when: 'he called him and he said'"
"And","ꓖꓳ ꓡꓱ ꓗ ꓠꓯꓸꓼ꓾", "uses when: And he keep doing it"
"And then","ꓖꓳ ꓡꓱ ꓗ ꓠꓯꓸꓼ꓾"
"(adjective) (noun)","(adjective) (noun)"
"(adverb) (verb)","(adverb) (verb)"
"(interjection)!","(interjection)!"
"(name) (verb) (gerund)","(name) (gerund) ꓔꓬ ꓟ (verb)"
"(name) (verb) (name)","(name) ꓡꓰ (name) ꓔꓯ (verb)ˍ ꓡꓳ"
"(name) (verb) (noun)","(name) ꓡꓰ (noun) ꓔꓯ (verb)ˍ ꓡꓳ"
"(name) created (name)","(name) ꓡꓰ (name) ꓔꓯ ꓚꓰꓼˍ ꓡꓳ"
"(name) created (noun)","(name) ꓡꓰ (noun) ꓔꓯ ꓚꓰꓼˍ ꓡꓳ"
"(name) created (noun) and said (quote)","(name) ꓡꓰ (noun) ꓔꓯ ꓚꓰꓼˍ ꓢꓲ ꓠꓬꓲ꓾ (quote) ꓐꓯˍ ꓡꓳ"
"(name) finished (gerund)","(name) (gerund) ꓬꓰ ꓓꓳ ꓡꓰꓳ"
"(name) said (name)","(name) ꓡꓰ (name) ꓐꓯˍ ꓡꓳ"
"(name) said (noun)","(name) ꓡꓰ (noun) ꓐꓯˍ ꓡꓳ"
"(name) stopped (gerund)","(name) (gerund) ꓔꓯ ꓠ: ꓗꓷˍ ꓡꓳ"
"(noun) (preposition) (noun)","(noun) (preposition) (noun)"
"(noun) (verb) (gerund)","(noun) (gerund) ꓔꓬ ꓟ (verb)"
"(noun) (verb) (name)","(noun) ꓡꓰ (name) ꓔꓯ (verb)ˍ ꓡꓳ"
"(noun) (verb) (noun)","(noun) ꓡꓰ (noun) ꓔꓯ (verb)ˍ ꓡꓳ"
"(noun) created (name)","(noun) ꓡꓰ (name) ꓔꓯ ꓚꓰꓼˍ ꓡꓳ"
"(noun) created (noun)","(noun) ꓡꓰ (noun) ꓔꓯ ꓚꓰꓼˍ ꓡꓳ"
"(noun) finished (gerund)","(noun) (gerund) ꓬꓰ ꓓꓳ ꓡꓰꓳ"
"(noun) said (name)","(noun) ꓡꓰ (name) ꓐꓯˍ ꓡꓳ"
"(noun) said (noun)","(noun) ꓡꓰ (noun) ꓐꓯˍ ꓡꓳ"
"(noun) said (subjects)","(noun) ꓡꓰ (subjects) ꓐꓯˍ ꓡꓳ", "uses when: God said 'do not go there'"
"(pronoun)(noun) said (subjects),"(pronoun)(noun) ꓡꓰ (subjects) ꓐꓯˍ ꓡꓳ"
"(noun) stopped (gerund)","(noun) (gerund) ꓔꓯ ꓠ: ꓗꓷˍ ꓡꓳ"
"(noun/pronoun) (verb) (adjective)","(noun/pronoun) (verb) (adjective) ꓡꓳ"
"(noun / pronoun) (verb)(noun / pronoun / verb) (preposition) (noun / pronoun / verb)", "(noun / pronoun/ verb) (preposition) (noun / pronoun/ verb) ꓔꓯ  (noun / pronoun)(verb). I saw money on the tree." 
"(object marker)","ꓔꓯ"
"(pronoun) (verb) (gerund)","(pronoun) (gerund) ꓔꓬ ꓟ (verb)"
"(pronoun) (verb) (name)","(pronoun) ꓡꓰ (name) ꓔꓯ (verb)ˍ ꓡꓳ"
"(pronoun) (verb) (noun)","(pronoun) ꓡꓰ (noun) ꓔꓯ (verb)ˍ ꓡꓳ"
"(pronoun) are (adjective)","(pronoun) ꓠꓬ (adjective) ꓥ ꓡꓳ"
"(pronoun) created (name)","(pronoun) ꓡꓰ (name) ꓔꓯ ꓚꓰꓼˍ ꓡꓳ"
"(pronoun) created (noun)","(pronoun) ꓡꓰ (noun) ꓔꓯ ꓚꓰꓼˍ ꓡꓳ"
"(pronoun) created (noun) and said (quote)","(pronoun) ꓡꓰ (noun) ꓔꓯ ꓚꓰꓼˍ ꓢꓲ ꓠꓬꓲ꓾ (quote) ꓐꓯˍ ꓡꓳ"
"(pronoun) created (noun) and the (noun)","(pronoun) ꓡꓰ (noun) ꓐꓰ (noun) ꓔꓯ ꓚꓰꓼˍ ꓡꓳ"
"(pronoun) created the (noun)","(pronoun) ꓡꓰ (noun) ꓔꓯ ꓚꓰꓼˍ ꓡꓳ"
"(pronoun) finished (gerund)","(pronoun) (gerund) ꓬꓰ ꓓꓳ ꓡꓰꓳ"
"(pronoun) have nothing","(pronoun) ꓠꓯꓸꓼ ꓗꓪ ꓮ ꓫꓵˍ ꓟꓲ ꓟꓽ ꓙꓳ"
"(pronoun) is (adjective)","(pronoun) ꓠꓬ (adjective)"
"(pronoun) is nothing","(pronoun) ꓠꓬ ꓬꓲ ꓖꓳꓽ ꓥ ꓡꓳ"
"(pronoun) said","(pronoun) ꓡꓰ ꓐꓯˍ ꓡꓳ"
"(pronoun) said (name)","(pronoun) ꓡꓰ (name) ꓐꓯˍ ꓡꓳ"
"(pronoun) said let there be (noun)","(pronoun) ꓡꓰ (noun) ꓙꓳꓻ ꓡ ꓝꓲ꓾ ꓐꓯˍ ꓡꓳ꓿"
"(pronoun) said the (noun)","(pronoun) ꓡꓰ (noun) ꓐꓯˍ ꓡꓳ"
